last_seen,bike_id
2025-12-05T11:01:14.481053,bike_47739
2025-12-11T11:01:15.033729,bike_74902
2025-12-11T11:01:16.604241,bike_89639
2025-12-11T11:01:14.491383,bike_75026
2025-12-11T11:01:08.604188,bike_43348
2025-12-11T11:01:12.890649,bike_80206
2025-12-11T11:01:15.324193,bike_75455
2025-12-11T11:01:13.244253,bike_44766
2025-12-10T05:01:03.591680,bike_44172
2025-12-11T11:01:08.791206,bike_51419
2025-12-11T11:01:09.944177,bike_76168
2025-12-11T11:01:06.971029,bike_89676
2025-12-11T11:01:08.591630,bike_09815
2025-12-05T23:01:12.057672,bike_56335
2025-12-11T11:01:08.392833,bike_75136
2025-12-11T11:01:14.324202,bike_73672
2025-12-11T11:01:11.524189,bike_71899
2025-12-11T11:01:14.153416,bike_72966
2025-12-11T11:01:13.244248,bike_88925
2025-12-11T11:01:07.133063,bike_51379
2025-12-09T23:01:11.871421,bike_68104
2025-12-11T11:01:14.224201,bike_89273
2025-12-11T11:01:13.693029,bike_27034
2025-12-11T11:01:11.630876,bike_52984
2025-12-11T11:01:06.513981,bike_61541
2025-12-11T11:01:07.124303,bike_89311
2025-12-11T11:01:17.000069,bike_56245
2025-12-11T11:01:07.753802,bike_88277
2025-12-11T11:01:09.010430,bike_21535
2025-12-11T11:01:12.270475,bike_42724
2025-12-11T11:01:12.864230,bike_17875
2025-12-11T11:01:12.430854,bike_82785
2025-12-11T05:01:10.411205,bike_63539
2025-12-11T11:01:16.113586,bike_50766
2025-12-11T11:01:06.873123,bike_71038
2025-12-11T11:01:12.629933,bike_74406
2025-12-11T11:01:15.653319,bike_77482
2025-12-11T11:01:08.473465,bike_68178
2025-12-06T11:01:11.201323,bike_70898
2025-12-11T11:01:09.113041,bike_22598
2025-12-11T11:01:14.491386,bike_85399
2025-12-11T11:01:14.070173,bike_25222
2025-12-11T11:01:09.853160,bike_03281
2025-12-11T11:01:16.299251,bike_10237
2025-12-11T11:01:08.344212,bike_75470
2025-12-11T11:01:09.104188,bike_07434
2025-12-11T11:01:10.745464,bike_69086
2025-12-11T11:01:14.193041,bike_80505
2025-12-11T11:01:16.524495,bike_74841
2025-12-11T11:01:10.513536,bike_04041
2025-12-11T11:01:14.053090,bike_47703
2025-12-11T11:01:14.853035,bike_88994
2025-12-11T11:01:12.709829,bike_42520
2025-12-11T11:01:09.273348,bike_85123
2025-12-11T11:01:06.104024,bike_09315
2025-12-11T11:01:11.050851,bike_20297
2025-12-08T11:01:12.125321,bike_44920
2025-12-11T11:01:11.804189,bike_50539
2025-12-11T11:01:12.733565,bike_45679
2025-12-11T11:01:07.783985,bike_43041
2025-12-11T11:01:15.684206,bike_53149
2025-12-11T11:01:15.513262,bike_77196
2025-12-11T11:01:13.584230,bike_79264
2025-12-11T11:01:06.393126,bike_46183
2025-12-02T05:01:11.358479,bike_69701
2025-12-11T11:01:10.953238,bike_50501
2025-12-11T11:01:06.744075,bike_74086
2025-12-04T23:01:04.097664,bike_26559
2025-12-11T11:01:08.104206,bike_26192
2025-12-11T11:01:07.270108,bike_59071
2025-12-11T11:01:15.644148,bike_47357
2025-12-11T05:01:08.351289,bike_55276
2025-12-11T11:01:16.644252,bike_00281
2025-12-11T11:01:10.212956,bike_75078
2025-12-11T11:01:13.521073,bike_40056
2025-12-11T11:01:08.353261,bike_21064
2025-12-11T11:01:07.190930,bike_61915
2025-12-11T11:01:12.684173,bike_78085
2025-12-11T11:01:11.744227,bike_23208
2025-12-11T11:01:13.875616,bike_47623
2025-12-11T11:01:10.373309,bike_03741
2025-12-11T11:01:07.452534,bike_00353
2025-12-11T11:01:12.114150,bike_58450
2025-12-11T11:01:15.859228,bike_56893
2025-12-11T11:01:13.951950,bike_05310
2025-12-11T11:01:08.552106,bike_57387
2025-12-11T11:01:11.864201,bike_76842
2025-12-11T05:01:08.328736,bike_20129
2025-12-10T23:01:10.608706,bike_88455
2025-12-11T11:01:10.294046,bike_05641
2025-12-11T11:01:14.013665,bike_44270
2025-12-11T11:01:08.774018,bike_00533
2025-12-11T05:01:12.001924,bike_80760
2025-12-11T05:01:12.721952,bike_60025
2025-12-11T11:01:16.792913,bike_25810
2025-12-11T11:01:07.604226,bike_71019
2025-12-11T11:01:06.283418,bike_78762
2025-12-11T11:01:16.424210,bike_45788
2025-12-11T11:01:07.550556,bike_89121
2025-12-11T11:01:08.944088,bike_20221
2025-12-11T11:01:06.410691,bike_19004
2025-12-11T11:01:12.709875,bike_44626
2025-12-11T11:01:16.010685,bike_05704
2025-12-11T05:01:11.736939,bike_74114
2025-12-11T11:01:11.709999,bike_50944
2025-12-11T11:01:16.752818,bike_76356
